Hm;km;maxHm;max_speed;minHm;position_lat_max;position_lat_min;position_long_max;position_long_min;speed;type;date;endtime;starttime;rider_weight;rider_height;ride_type
249,2;10,26785;379;36,9144;253,4;48,7367215;48,71390831;9,517264981;9,493955327;15,760215;MTB;07.07.2019;16:56:39;15:57:25;73;183;Training
400;18,5325;478,4;37,656;264,2;48,7653312;48,71391166;9,517272189;9,480433892;16,02052755;MTB;14.12.2019;16:03:01;14:40:24;75;183;Training
785,4;34,56348;376,8;48,1356;141,4;48,77844972;48,71543893;9,613605235;9,502792619;17,50352365;MTB;02.02.2019;13:57:32;11:47:05;76;183;Training
214,8;20,05902;374;36,144;273,4;48,75647807;48,71514296;9,561069645;9,512992725;17,81698754;MTB;23.04.2017;18:00:11;16:41:50;75;183;Training
206,4;15,36731;914,8;36,5112;738,8;47,5048067;47,40468546;10,28234172;10,24087636;15,22260773;MTB;11.08.2019;12:44:54;11:31:19;73;183;Training
566,6;36,14793;528,6;53,8776;289,6;48,77856824;48,70887422;9,572090087;9,469560469;19,63155608;Rennrad;03.01.2020;16:15:33;14:17:03;76;183;Pendeln
707,6;22,78517;484,4;55,9296;313;48,75552194;48,71633437;9,519578638;9,506491804;25,75018;Rennrad;06.10.2018;14:00:01;12:50:55;73;183;Training
447,8;22,03374;465;57,6756;281,8;48,76649964;48,71701187;9,519576458;9,490543222;26,44992323;Rennrad;20.09.2017;16:47:32;15:51:00;73;183;Training
419,2;27,98019;514,8;55,8936;302,4;48,77309896;48,71701154;9,561129827;9,490725026;27,52272611;Rennrad;19.05.2019;11:44:08;10:36:08;74;183;Training
1872;135,21946;707;54,3168;259,4;48,8235519;48,68472369;9,990724912;9,490651516;28,05946159;Rennrad;29.04.2018;13:00:50;07:00:33;73;183;Training
1418,2;91,54984;789,8;57,7764;314;48,71721623;48,52843096;9,659815673;9,448956409;25,98141029;Rennrad;02.06.2019;14:43:47;10:37:53;73;183;Training
591;30,19561;916,6;35,7732;544,4;46,6531662;46,61857425;11,00485238;10,89808621;18,7884797;Rennrad;10.08.2018;09:53:42;08:09:59;73;183;Training
433,2;27,19755;446,8;46,7244;234,4;48,76617216;48,71600261;9,561114404;9,490811611;25,71949183;Rennrad;19.03.2017;14:18:12;13:11:06;75;183;Training
651,6;41,31568;552,8;56,0952;316,2;48,79158106;48,71542074;9,561168551;9,404824181;27,27471391;Rennrad;14.05.2019;17:38:14;16:00:30;74;183;Training
220,6;34,99888;296,6;46,188;202,2;48,79824584;48,70363536;9,517183928;9,170695245;26,15173822;Rennrad;15.08.2019;09:19:35;07:57:46;73;183;Pendeln
199,8;14,09633;379,8;39,906;244,8;48,7367246;48,70533337;9,517201949;9,472885067;19,58235028;Rennrad;29.05.2020;19:03:59;18:19:54;73;183;Training
569,2;38,6997;553;49,5792;256,2;44,08350946;44,03486148;5,2945117;5,177048128;24,27351526;Rennrad;16.06.2019;20:20:33;18:27:51;73;183;Training
